protein_id,seg_i,seg_j,seg_type_i,seg_type_j,seg_end_i,seg_end_j,emergence_gap_residues,emergence_gap_seconds
F04,9,12,A,B,212,254,42,2.52
F04,9,13,A,B,212,265,53,3.1799999999999997
F04,10,11,B,B,224,242,18,1.08
F04,10,12,B,B,224,254,30,1.7999999999999998
F04,10,13,B,B,224,265,41,2.46
F04,11,12,B,B,242,254,12,0.72
F04,11,13,B,B,242,265,23,1.38
F05,0,1,A,B,15,27,12,0.72
F05,0,2,A,B,15,37,22,1.3199999999999998
F05,0,3,A,B,15,47,32,1.92
F05,0,5,A,B,15,71,56,3.36
F05,0,6,A,B,15,86,71,4.26
F05,0,7,A,B,15,98,83,4.9799999999999995
F05,1,3,B,B,27,47,20,1.2
F05,1,4,B,B,27,57,30,1.7999999999999998
F05,1,5,B,B,27,71,44,2.6399999999999997
F05,1,6,B,B,27,86,59,3.54
F05,1,7,B,B,27,98,71,4.26
F05,2,3,B,B,37,47,10,0.6
F05,2,4,B,B,37,57,20,1.2
F05,2,5,B,B,37,71,34,2.04
F05,2,6,B,B,37,86,49,2.94
F05,2,7,B,B,37,98,61,3.6599999999999997
F05,3,4,B,B,47,57,10,0.6
F05,3,5,B,B,47,71,24,1.44
F05,3,6,B,B,47,86,39,2.34
F05,3,7,B,B,47,98,51,3.06
F05,4,5,B,B,57,71,14,0.84
F05,4,6,B,B,57,86,29,1.74
F05,4,7,B,B,57,98,41,2.46
F05,5,6,B,B,71,86,15,0.8999999999999999
F05,5,7,B,B,71,98,27,1.6199999999999999
F05,6,7,B,B,86,98,12,0.72
F06,0,1,B,A,12,25,13,0.78
F06,0,2,B,A,12,47,35,2.1
F06,0,3,B,B,12,61,49,2.94
F06,0,4,B,A,12,84,72,4.32
F06,0,10,B,B,12,173,161,9.66
F06,1,2,A,A,25,47,22,1.3199999999999998
F06,1,3,A,B,25,61,36,2.16
F06,1,4,A,A,25,84,59,3.54
F06,2,3,A,B,47,61,14,0.84
F06,2,4,A,A,47,84,37,2.2199999999999998
F06,2,7,A,A,47,136,89,5.34
F06,2,8,A,B,47,151,104,6.24
F06,2,10,A,B,47,173,126,7.56
F06,3,4,B,A,61,84,23,1.38
F06,3,7,B,A,61,136,75,4.5
F06,3,8,B,B,61,151,90,5.3999999999999995
F06,3,9,B,B,61,161,100,6.0
F06,3,10,B,B,61,173,112,6.72
F06,4,7,A,A,84,136,52,3.12
F06,4,8,A,B,84,151,67,4.02
F06,4,10,A,B,84,173,89,5.34
F06,5,6,B,A,97,117,20,1.2
F06,5,7,B,A,97,136,39,2.34
F06,5,8,B,B,97,151,54,3.2399999999999998
F06,5,9,B,B,97,161,64,3.84
F06,5,10,B,B,97,173,76,4.56
F06,6,7,A,A,117,136,19,1.14
F06,6,8,A,B,117,151,34,2.04
F06,6,9,A,B,117,161,44,2.6399999999999997
F06,6,10,A,B,117,173,56,3.36
F06,7,8,A,B,136,151,15,0.8999999999999999
F06,7,9,A,B,136,161,25,1.5
F06,7,10,A,B,136,173,37,2.2199999999999998
F06,8,9,B,B,151,161,10,0.6
F06,8,10,B,B,151,173,22,1.3199999999999998
F06,9,10,B,B,161,173,12,0.72
F07,0,1,B,B,9,20,11,0.6599999999999999
F07,0,2,B,A,9,76,67,4.02
F07,0,3,B,B,9,88,79,4.74
F07,0,4,B,B,9,102,93,5.58
F07,1,2,B,A,20,76,56,3.36
F07,1,3,B,B,20,88,68,4.08
F07,1,4,B,B,20,102,82,4.92
F07,2,3,A,B,76,88,12,0.72
F07,2,4,A,B,76,102,26,1.56
F07,3,4,B,B,88,102,14,0.84
F08,0,1,B,A,12,37,25,1.5
F08,0,2,B,B,12,49,37,2.2199999999999998
F08,0,3,B,A,12,61,49,2.94
F08,0,4,B,B,12,71,59,3.54
F08,0,5,B,B,12,81,69,4.14
F08,1,2,A,B,37,49,12,0.72
F08,1,3,A,A,37,61,24,1.44
F08,1,4,A,B,37,71,34,2.04
F08,1,5,A,B,37,81,44,2.6399999999999997
F08,2,3,B,A,49,61,12,0.72
F08,2,4,B,B,49,71,22,1.3199999999999998
F08,2,5,B,B,49,81,32,1.92
F08,3,4,A,B,61,71,10,0.6
F08,4,5,B,B,71,81,10,0.6
F09,0,1,A,B,31,43,12,0.72
F09,0,2,A,B,31,54,23,1.38
F09,0,3,A,A,31,70,39,2.34
F09,0,5,A,A,31,99,68,4.08
F09,0,6,A,A,31,117,86,5.16
F09,0,7,A,A,31,149,118,7.08
F09,0,8,A,B,31,159,128,7.68
F09,0,9,A,B,31,171,140,8.4
F09,0,10,A,B,31,185,154,9.24
F09,1,2,B,B,43,54,11,0.6599999999999999
F09,1,3,B,A,43,70,27,1.6199999999999999
F09,1,4,B,A,43,87,44,2.6399999999999997
F09,1,6,B,A,43,117,74,4.4399999999999995
F09,1,7,B,A,43,149,106,6.359999999999999
F09,1,9,B,B,43,171,128,7.68
F09,1,10,B,B,43,185,142,8.52
F09,2,3,B,A,54,70,16,0.96
F09,2,4,B,A,54,87,33,1.98
F09,2,5,B,A,54,99,45,2.6999999999999997
F09,2,6,B,A,54,117,63,3.78
F09,2,7,B,A,54,149,95,5.7
F09,3,4,A,A,70,87,17,1.02
F09,3,5,A,A,70,99,29,1.74
F09,3,6,A,A,70,117,47,2.82
F09,3,7,A,A,70,149,79,4.74
F09,4,5,A,A,87,99,12,0.72
F09,4,6,A,A,87,117,30,1.7999999999999998
F09,4,7,A,A,87,149,62,3.7199999999999998
F09,5,6,A,A,99,117,18,1.08
F09,5,7,A,A,99,149,50,3.0
F09,6,7,A,A,117,149,32,1.92
F09,7,8,A,B,149,159,10,0.6
F09,7,9,A,B,149,171,22,1.3199999999999998
F09,7,10,A,B,149,185,36,2.16
F09,8,10,B,B,159,185,26,1.56
F09,9,10,B,B,171,185,14,0.84
F10,0,2,A,B,12,36,24,1.44
F10,0,3,A,A,12,55,43,2.58
F10,0,4,A,A,12,78,66,3.96
F10,0,5,A,B,12,90,78,4.68
F10,0,6,A,B,12,103,91,5.46
F10,1,2,B,B,24,36,12,0.72
F10,1,3,B,A,24,55,31,1.8599999999999999
F10,1,4,B,A,24,78,54,3.2399999999999998
F10,1,5,B,B,24,90,66,3.96
F10,1,6,B,B,24,103,79,4.74
F10,2,3,B,A,36,55,19,1.14
F10,2,4,B,A,36,78,42,2.52
F10,2,5,B,B,36,90,54,3.2399999999999998
F10,3,4,A,A,55,78,23,1.38
F10,4,5,A,B,78,90,12,0.72
F10,4,6,A,B,78,103,25,1.5
F11,0,1,A,A,40,64,24,1.44
F11,0,2,A,A,40,83,43,2.58
F11,0,3,A,A,40,104,64,3.84
F11,0,4,A,A,40,130,90,5.3999999999999995
F11,0,5,A,B,40,140,100,6.0
F11,1,2,A,A,64,83,19,1.14
F11,1,3,A,A,64,104,40,2.4
F11,1,4,A,A,64,130,66,3.96
F11,1,5,A,B,64,140,76,4.56
F11,2,3,A,A,83,104,21,1.26
F11,2,4,A,A,83,130,47,2.82
F11,3,4,A,A,104,130,26,1.56
F11,3,5,A,B,104,140,36,2.16
F11,4,5,A,B,130,140,10,0.6
F12,0,1,B,B,9,30,21,1.26
F12,0,2,B,B,9,40,31,1.8599999999999999
F12,0,3,B,A,9,53,44,2.6399999999999997
F12,0,4,B,A,9,79,70,4.2
F12,0,6,B,B,9,107,98,5.88
F12,0,7,B,B,9,121,112,6.72
F12,1,2,B,B,30,40,10,0.6
F12,1,3,B,A,30,53,23,1.38
F12,1,4,B,A,30,79,49,2.94
F12,1,6,B,B,30,107,77,4.62
F12,1,7,B,B,30,121,91,5.46
F12,2,3,B,A,40,53,13,0.78
F12,2,4,B,A,40,79,39,2.34
F12,2,6,B,B,40,107,67,4.02
F12,2,7,B,B,40,121,81,4.859999999999999
F12,3,4,A,A,53,79,26,1.56
F12,3,5,A,B,53,90,37,2.2199999999999998
F12,3,6,A,B,53,107,54,3.2399999999999998
F12,3,7,A,B,53,121,68,4.08
F12,4,5,A,B,79,90,11,0.6599999999999999
F12,4,6,A,B,79,107,28,1.68
F12,4,7,A,B,79,121,42,2.52
F12,5,6,B,B,90,107,17,1.02
F12,6,7,B,B,107,121,14,0.84
F13,0,1,A,A,15,29,14,0.84
F13,0,2,A,B,15,40,25,1.5
F13,0,3,A,A,15,53,38,2.28
F13,0,4,A,A,15,75,60,3.5999999999999996
F13,0,5,A,A,15,107,92,5.52
F13,0,6,A,B,15,117,102,6.12
F13,1,2,A,B,29,40,11,0.6599999999999999
F13,1,3,A,A,29,53,24,1.44
F13,1,4,A,A,29,75,46,2.76
F13,1,5,A,A,29,107,78,4.68
F13,1,6,A,B,29,117,88,5.279999999999999
F13,2,3,B,A,40,53,13,0.78
F13,2,4,B,A,40,75,35,2.1
F13,2,5,B,A,40,107,67,4.02
F13,2,6,B,B,40,117,77,4.62
F13,3,4,A,A,53,75,22,1.3199999999999998
F13,3,5,A,A,53,107,54,3.2399999999999998
F13,4,5,A,A,75,107,32,1.92
F13,4,6,A,B,75,117,42,2.52
F13,5,6,A,B,107,117,10,0.6
F14,0,1,B,B,10,23,13,0.78
F14,0,2,B,B,10,34,24,1.44
F14,0,3,B,B,10,44,34,2.04
F14,0,4,B,B,10,54,44,2.6399999999999997
F14,0,5,B,A,10,89,79,4.74
F14,0,8,B,B,10,123,113,6.779999999999999
F14,0,9,B,B,10,137,127,7.62
F14,1,2,B,B,23,34,11,0.6599999999999999
F14,1,4,B,B,23,54,31,1.8599999999999999
F14,1,5,B,A,23,89,66,3.96
F14,1,7,B,A,23,113,90,5.3999999999999995
F14,1,8,B,B,23,123,100,6.0
F14,1,9,B,B,23,137,114,6.84
F14,2,3,B,B,34,44,10,0.6
F14,2,4,B,B,34,54,20,1.2
F14,2,5,B,A,34,89,55,3.3
F14,2,9,B,B,34,137,103,6.18
F14,3,4,B,B,44,54,10,0.6
F14,3,5,B,A,44,89,45,2.6999999999999997
F14,4,5,B,A,54,89,35,2.1
F14,4,6,B,B,54,100,46,2.76
F14,4,7,B,A,54,113,59,3.54
F14,4,8,B,B,54,123,69,4.14
F14,4,9,B,B,54,137,83,4.9799999999999995
F14,5,6,A,B,89,100,11,0.6599999999999999
F14,5,7,A,A,89,113,24,1.44
F14,5,8,A,B,89,123,34,2.04
F14,5,9,A,B,89,137,48,2.88
F14,6,7,B,A,100,113,13,0.78
F14,6,8,B,B,100,123,23,1.38
F14,7,9,A,B,113,137,24,1.44
F14,8,9,B,B,123,137,14,0.84
F15,0,1,B,B,10,21,11,0.6599999999999999
F15,0,2,B,A,10,43,33,1.98
F15,0,3,B,A,10,59,49,2.94
F15,0,4,B,B,10,72,62,3.7199999999999998
F15,0,5,B,A,10,108,98,5.88
F15,1,2,B,A,21,43,22,1.3199999999999998
F15,1,3,B,A,21,59,38,2.28
F15,1,4,B,B,21,72,51,3.06
F15,1,5,B,A,21,108,87,5.22
F15,1,6,B,B,21,125,104,6.24
F15,2,3,A,A,43,59,16,0.96
F15,2,4,A,B,43,72,29,1.74
F15,2,5,A,A,43,108,65,3.9
F15,2,6,A,B,43,125,82,4.92
F15,3,4,A,B,59,72,13,0.78
F15,3,5,A,A,59,108,49,2.94
F15,3,6,A,B,59,125,66,3.96
F15,4,5,B,A,72,108,36,2.16
F15,4,6,B,B,72,125,53,3.1799999999999997
F15,5,6,A,B,108,125,17,1.02
F16,0,1,B,A,16,30,14,0.84
F16,0,3,B,A,16,84,68,4.08
F16,0,4,B,A,16,103,87,5.22
F16,0,5,B,A,16,131,115,6.8999999999999995
F16,0,6,B,B,16,145,129,7.739999999999999
F16,1,2,A,A,30,45,15,0.8999999999999999
F16,1,3,A,A,30,84,54,3.2399999999999998
F16,1,5,A,A,30,131,101,6.06
F16,2,3,A,A,45,84,39,2.34
F16,2,4,A,A,45,103,58,3.48
F16,2,5,A,A,45,131,86,5.16
F16,3,4,A,A,84,103,19,1.14
F16,3,5,A,A,84,131,47,2.82
F16,3,6,A,B,84,145,61,3.6599999999999997
F16,4,5,A,A,103,131,28,1.68
F16,4,6,A,B,103,145,42,2.52
F16,5,6,A,B,131,145,14,0.84
F17,0,2,B,A,17,89,72,4.32
F17,0,3,B,A,17,125,108,6.4799999999999995
F17,0,4,B,A,17,143,126,7.56
F17,0,7,B,B,17,182,165,9.9
F17,0,8,B,A,17,200,183,10.98
F17,0,10,B,A,17,233,216,12.959999999999999
F17,0,11,B,A,17,266,249,14.94
F17,1,2,B,A,35,89,54,3.2399999999999998
F17,1,3,B,A,35,125,90,5.3999999999999995
F17,1,4,B,A,35,143,108,6.4799999999999995
F17,1,5,B,B,35,158,123,7.38
F17,1,7,B,B,35,182,147,8.82
F17,1,8,B,A,35,200,165,9.9
F17,1,10,B,A,35,233,198,11.879999999999999
F17,1,11,B,A,35,266,231,13.86
F17,1,12,B,A,35,278,243,14.58
F17,1,13,B,B,35,290,255,15.299999999999999
F17,1,14,B,B,35,302,267,16.02
F17,1,15,B,A,35,341,306,18.36
F17,2,3,A,A,89,125,36,2.16
F17,2,4,A,A,89,143,54,3.2399999999999998
F17,2,5,A,B,89,158,69,4.14
F17,2,7,A,B,89,182,93,5.58
F17,2,8,A,A,89,200,111,6.66
F17,2,10,A,A,89,233,144,8.64
F17,2,12,A,A,89,278,189,11.34
F17,2,14,A,B,89,302,213,12.78
F17,2,15,A,A,89,341,252,15.12
F17,2,16,A,B,89,362,273,16.38
F17,3,4,A,A,125,143,18,1.08
F17,3,5,A,B,125,158,33,1.98
F17,3,6,A,B,125,170,45,2.6999999999999997
F17,3,7,A,B,125,182,57,3.42
F17,3,8,A,A,125,200,75,4.5
F17,3,10,A,A,125,233,108,6.4799999999999995
F17,4,5,A,B,143,158,15,0.8999999999999999
F17,4,6,A,B,143,170,27,1.6199999999999999
F17,4,7,A,B,143,182,39,2.34
F17,4,8,A,A,143,200,57,3.42
F17,4,10,A,A,143,233,90,5.3999999999999995
F17,4,12,A,A,143,278,135,8.1
F17,5,6,B,B,158,170,12,0.72
F17,5,7,B,B,158,182,24,1.44
F17,5,8,B,A,158,200,42,2.52
F17,5,9,B,B,158,212,54,3.2399999999999998
F17,5,10,B,A,158,233,75,4.5
F17,5,11,B,A,158,266,108,6.4799999999999995
F17,5,12,B,A,158,278,120,7.199999999999999
F17,5,14,B,B,158,302,144,8.64
F17,6,8,B,A,170,200,30,1.7999999999999998
F17,6,9,B,B,170,212,42,2.52
F17,6,10,B,A,170,233,63,3.78
F17,7,8,B,A,182,200,18,1.08
F17,7,9,B,B,182,212,30,1.7999999999999998
F17,7,10,B,A,182,233,51,3.06
F17,7,11,B,A,182,266,84,5.04
F17,8,9,A,B,200,212,12,0.72
F17,8,10,A,A,200,233,33,1.98
F17,8,11,A,A,200,266,66,3.96
F17,8,12,A,A,200,278,78,4.68
F17,8,14,A,B,200,302,102,6.12
F17,9,10,B,A,212,233,21,1.26
F17,9,11,B,A,212,266,54,3.2399999999999998
F17,10,11,A,A,233,266,33,1.98
F17,10,12,A,A,233,278,45,2.6999999999999997
F17,10,13,A,B,233,290,57,3.42
F17,10,14,A,B,233,302,69,4.14
F17,11,12,A,A,266,278,12,0.72
F17,11,13,A,B,266,290,24,1.44
F17,11,14,A,B,266,302,36,2.16
F17,11,15,A,A,266,341,75,4.5
F17,11,16,A,B,266,362,96,5.76
F17,12,13,A,B,278,290,12,0.72
F17,12,14,A,B,278,302,24,1.44
F17,12,15,A,A,278,341,63,3.78
F17,12,16,A,B,278,362,84,5.04
F17,13,14,B,B,290,302,12,0.72
F17,13,15,B,A,290,341,51,3.06
F17,13,16,B,B,290,362,72,4.32
F17,14,15,B,A,302,341,39,2.34
F17,14,16,B,B,302,362,60,3.5999999999999996
F17,15,16,A,B,341,362,21,1.26
F18,0,1,B,A,11,44,33,1.98
F18,0,2,B,A,11,56,45,2.6999999999999997
F18,0,3,B,A,11,107,96,5.76
F18,0,4,B,A,11,122,111,6.66
F18,0,6,B,B,11,155,144,8.64
F18,0,8,B,A,11,197,186,11.16
F18,0,9,B,A,11,239,228,13.68
F18,0,12,B,A,11,332,321,19.259999999999998
F18,1,2,A,A,44,56,12,0.72
F18,1,3,A,A,44,107,63,3.78
F18,1,4,A,A,44,122,78,4.68
F18,1,6,A,B,44,155,111,6.66
F18,1,9,A,A,44,239,195,11.7
F18,1,12,A,A,44,332,288,17.28
F18,2,3,A,A,56,107,51,3.06
F18,2,8,A,A,56,197,141,8.459999999999999
F18,2,9,A,A,56,239,183,10.98
F18,2,12,A,A,56,332,276,16.56
F18,3,4,A,A,107,122,15,0.8999999999999999
F18,3,5,A,A,107,137,30,1.7999999999999998
F18,3,6,A,B,107,155,48,2.88
F18,3,8,A,A,107,197,90,5.3999999999999995
F18,3,12,A,A,107,332,225,13.5
F18,4,5,A,A,122,137,15,0.8999999999999999
F18,4,6,A,B,122,155,33,1.98
F18,4,9,A,A,122,239,117,7.02
F18,4,12,A,A,122,332,210,12.6
F18,5,6,A,B,137,155,18,1.08
F18,5,7,A,A,137,173,36,2.16
F18,5,9,A,A,137,239,102,6.12
F18,5,11,A,A,137,272,135,8.1
F18,5,12,A,A,137,332,195,11.7
F18,6,7,B,A,155,173,18,1.08
F18,6,8,B,A,155,197,42,2.52
F18,6,9,B,A,155,239,84,5.04
F18,6,10,B,A,155,257,102,6.12
F18,6,11,B,A,155,272,117,7.02
F18,6,12,B,A,155,332,177,10.62
F18,7,9,A,A,173,239,66,3.96
F18,7,10,A,A,173,257,84,5.04
F18,7,11,A,A,173,272,99,5.9399999999999995
F18,7,12,A,A,173,332,159,9.54
F18,8,9,A,A,197,239,42,2.52
F18,8,10,A,A,197,257,60,3.5999999999999996
F18,8,12,A,A,197,332,135,8.1
F18,9,10,A,A,239,257,18,1.08
F18,9,12,A,A,239,332,93,5.58
F18,10,12,A,A,257,332,75,4.5
F18,11,12,A,A,272,332,60,3.5999999999999996
F19,1,2,A,A,43,65,22,1.3199999999999998
F19,1,3,A,B,43,75,32,1.92
F19,1,4,A,A,43,102,59,3.54
F19,1,5,A,B,43,115,72,4.32
F19,2,3,A,B,65,75,10,0.6
F19,2,4,A,A,65,102,37,2.2199999999999998
F19,2,5,A,B,65,115,50,3.0
F19,3,4,B,A,75,102,27,1.6199999999999999
F19,3,5,B,B,75,115,40,2.4
F19,4,5,A,B,102,115,13,0.78
F20,0,1,B,B,9,20,11,0.6599999999999999
F20,0,2,B,B,9,30,21,1.26
F20,0,3,B,B,9,47,38,2.28
F20,0,4,B,A,9,80,71,4.26
F20,0,5,B,A,9,94,85,5.1
F20,0,6,B,A,9,114,105,6.3
F20,0,7,B,B,9,124,115,6.8999999999999995
F20,0,8,B,B,9,135,126,7.56
F20,0,9,B,B,9,152,143,8.58
F20,1,2,B,B,20,30,10,0.6
F20,1,3,B,B,20,47,27,1.6199999999999999
F20,1,4,B,A,20,80,60,3.5999999999999996
F20,1,5,B,A,20,94,74,4.4399999999999995
F20,1,6,B,A,20,114,94,5.64
F20,1,7,B,B,20,124,104,6.24
F20,1,8,B,B,20,135,115,6.8999999999999995
F20,1,9,B,B,20,152,132,7.92
F20,2,3,B,B,30,47,17,1.02
F20,2,4,B,A,30,80,50,3.0
F20,2,5,B,A,30,94,64,3.84
F20,2,7,B,B,30,124,94,5.64
F20,2,8,B,B,30,135,105,6.3
F20,2,9,B,B,30,152,122,7.319999999999999
F20,3,4,B,A,47,80,33,1.98
F20,3,5,B,A,47,94,47,2.82
F20,3,6,B,A,47,114,67,4.02
F20,3,8,B,B,47,135,88,5.279999999999999
F20,3,9,B,B,47,152,105,6.3
F20,4,5,A,A,80,94,14,0.84
F20,4,6,A,A,80,114,34,2.04
F20,4,7,A,B,80,124,44,2.6399999999999997
F20,4,8,A,B,80,135,55,3.3
F20,4,9,A,B,80,152,72,4.32
F20,5,6,A,A,94,114,20,1.2
F20,5,8,A,B,94,135,41,2.46
F20,6,7,A,B,114,124,10,0.6
F20,6,8,A,B,114,135,21,1.26
F20,6,9,A,B,114,152,38,2.28
F20,7,8,B,B,124,135,11,0.6599999999999999
F20,7,9,B,B,124,152,28,1.68
F20,8,9,B,B,135,152,17,1.02
F21,0,1,B,A,16,55,39,2.34
F22,0,1,B,B,13,26,13,0.78
F22,0,2,B,B,13,39,26,1.56
F22,0,3,B,A,13,57,44,2.6399999999999997
F22,1,2,B,B,26,39,13,0.78
F22,1,3,B,A,26,57,31,1.8599999999999999
F22,2,3,B,A,39,57,18,1.08
F23,0,2,B,B,9,30,21,1.26
F23,0,4,B,A,9,54,45,2.6999999999999997
F23,0,6,B,B,9,80,71,4.26
F23,0,7,B,A,9,98,89,5.34
F23,0,8,B,B,9,109,100,6.0
F23,0,9,B,B,9,124,115,6.8999999999999995
F23,0,10,B,A,9,150,141,8.459999999999999
F23,1,3,B,B,20,40,20,1.2
F23,1,4,B,A,20,54,34,2.04
F23,1,5,B,A,20,68,48,2.88
F23,1,6,B,B,20,80,60,3.5999999999999996
F23,1,7,B,A,20,98,78,4.68
F23,1,8,B,B,20,109,89,5.34
F23,1,9,B,B,20,124,104,6.24
F23,1,10,B,A,20,150,130,7.8
F23,1,11,B,A,20,161,141,8.459999999999999
F23,2,3,B,B,30,40,10,0.6
F23,2,4,B,A,30,54,24,1.44
F23,2,8,B,B,30,109,79,4.74
F23,2,9,B,B,30,124,94,5.64
F23,2,10,B,A,30,150,120,7.199999999999999
F23,2,11,B,A,30,161,131,7.859999999999999
F23,3,5,B,A,40,68,28,1.68
F23,3,6,B,B,40,80,40,2.4
F23,3,7,B,A,40,98,58,3.48
F23,3,8,B,B,40,109,69,4.14
F23,3,9,B,B,40,124,84,5.04
F23,3,10,B,A,40,150,110,6.6
F23,3,11,B,A,40,161,121,7.26
F23,4,5,A,A,54,68,14,0.84
F23,4,6,A,B,54,80,26,1.56
F23,4,7,A,A,54,98,44,2.6399999999999997
F23,4,8,A,B,54,109,55,3.3
F23,4,9,A,B,54,124,70,4.2
F23,4,10,A,A,54,150,96,5.76
F23,4,11,A,A,54,161,107,6.42
F23,5,6,A,B,68,80,12,0.72
F23,5,7,A,A,68,98,30,1.7999999999999998
F23,5,8,A,B,68,109,41,2.46
F23,5,9,A,B,68,124,56,3.36
F23,5,11,A,A,68,161,93,5.58
